Territorio,Sesso,Classe di età,Titolo di studio,TIME,Value
Emilia-Romagna,maschi,15 anni e più,licenza di scuola media,2018,595.485
Emilia-Romagna,maschi,15 anni e più,licenza di scuola media,2019,616.198
Emilia-Romagna,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,145.105
Emilia-Romagna,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,143.857
Emilia-Romagna,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,586.221
Emilia-Romagna,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,587.847
Emilia-Romagna,maschi,15 anni e più,laurea e post-laurea,2018,280.186
Emilia-Romagna,maschi,15 anni e più,laurea e post-laurea,2019,286.321
Emilia-Romagna,maschi,15 anni e più,totale,2018,1844.066
Emilia-Romagna,maschi,15 anni e più,totale,2019,1849.913
Emilia-Romagna,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,367.388
Emilia-Romagna,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,353.138
Emilia-Romagna,femmine,15 anni e più,licenza di scuola media,2018,522.995
Emilia-Romagna,femmine,15 anni e più,licenza di scuola media,2019,514.217
Emilia-Romagna,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,140.781
Emilia-Romagna,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,140.533
Emilia-Romagna,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,596.851
Emilia-Romagna,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,606.001
Emilia-Romagna,femmine,15 anni e più,laurea e post-laurea,2018,360.395
Emilia-Romagna,femmine,15 anni e più,laurea e post-laurea,2019,377.713
Emilia-Romagna,femmine,15 anni e più,totale,2018,1988.41
Emilia-Romagna,femmine,15 anni e più,totale,2019,1991.601
Emilia-Romagna,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,604.459
Emilia-Romagna,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,568.828
Emilia-Romagna,totale,15 anni e più,licenza di scuola media,2018,1118.479
Emilia-Romagna,totale,15 anni e più,licenza di scuola media,2019,1130.415
Emilia-Romagna,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,285.886
Emilia-Romagna,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,284.39
Emilia-Romagna,totale,15 anni e più,diploma 4-5 anni (maturità),2018,1183.072
Emilia-Romagna,totale,15 anni e più,diploma 4-5 anni (maturità),2019,1193.848
Emilia-Romagna,totale,15 anni e più,laurea e post-laurea,2018,640.581
Emilia-Romagna,totale,15 anni e più,laurea e post-laurea,2019,664.034
Emilia-Romagna,totale,15 anni e più,totale,2018,3832.476
Emilia-Romagna,totale,15 anni e più,totale,2019,3841.514
Toscana,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,219.1
Toscana,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,212.163
Toscana,maschi,15 anni e più,licenza di scuola media,2018,518.806
Toscana,maschi,15 anni e più,licenza di scuola media,2019,531.969
Toscana,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,71.498
Toscana,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,79.201
Toscana,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,513.23
Toscana,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,508.09
Toscana,maschi,15 anni e più,laurea e post-laurea,2018,226.814
Toscana,maschi,15 anni e più,laurea e post-laurea,2019,217.448
Toscana,maschi,15 anni e più,totale,2018,1549.448
Toscana,maschi,15 anni e più,totale,2019,1548.872
Toscana,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,363.442
Toscana,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,352.905
Toscana,femmine,15 anni e più,licenza di scuola media,2018,446.248
Toscana,femmine,15 anni e più,licenza di scuola media,2019,445.198
Toscana,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,77.693
Toscana,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,84.594
Toscana,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,517.479
Toscana,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,524.071
Toscana,femmine,15 anni e più,laurea e post-laurea,2018,292.116
Toscana,femmine,15 anni e più,laurea e post-laurea,2019,288.09
Toscana,femmine,15 anni e più,totale,2018,1696.977
Toscana,femmine,15 anni e più,totale,2019,1694.857
Toscana,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,582.542
Toscana,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,565.068
Toscana,totale,15 anni e più,licenza di scuola media,2018,965.053
Toscana,totale,15 anni e più,licenza di scuola media,2019,977.167
Toscana,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,149.191
Toscana,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,163.795
Toscana,totale,15 anni e più,diploma 4-5 anni (maturità),2018,1030.709
Toscana,totale,15 anni e più,diploma 4-5 anni (maturità),2019,1032.161
Toscana,totale,15 anni e più,laurea e post-laurea,2018,518.93
Toscana,totale,15 anni e più,laurea e post-laurea,2019,505.538
Toscana,totale,15 anni e più,totale,2018,3246.425
Toscana,totale,15 anni e più,totale,2019,3243.729
Umbria,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,47.605
Umbria,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,43.207
Umbria,maschi,15 anni e più,licenza di scuola media,2018,111.248
Umbria,maschi,15 anni e più,licenza di scuola media,2019,112.812
Umbria,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,23.664
Umbria,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,23.322
Umbria,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,130.641
Umbria,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,133.239
Umbria,maschi,15 anni e più,laurea e post-laurea,2018,52.226
Umbria,maschi,15 anni e più,laurea e post-laurea,2019,52.54
Umbria,maschi,15 anni e più,totale,2018,365.384
Umbria,maschi,15 anni e più,totale,2019,365.121
Umbria,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,85.785
Umbria,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,80.509
Umbria,femmine,15 anni e più,licenza di scuola media,2018,100.541
Umbria,femmine,15 anni e più,licenza di scuola media,2019,95.237
Umbria,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,16.56
Umbria,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,16.827
Umbria,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,132.618
Umbria,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,133.335
Umbria,femmine,15 anni e più,laurea e post-laurea,2018,66.348
Umbria,femmine,15 anni e più,laurea e post-laurea,2019,74.816
Umbria,femmine,15 anni e più,totale,2018,401.851
Umbria,femmine,15 anni e più,totale,2019,400.724
Umbria,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,133.39
Umbria,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,123.716
Umbria,totale,15 anni e più,licenza di scuola media,2018,211.789
Umbria,totale,15 anni e più,licenza di scuola media,2019,208.049
Umbria,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,40.224
Umbria,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,40.15
Umbria,totale,15 anni e più,diploma 4-5 anni (maturità),2018,263.259
Umbria,totale,15 anni e più,diploma 4-5 anni (maturità),2019,266.575
Umbria,totale,15 anni e più,laurea e post-laurea,2018,118.573
Umbria,totale,15 anni e più,laurea e post-laurea,2019,127.356
Umbria,totale,15 anni e più,totale,2018,767.235
Umbria,totale,15 anni e più,totale,2019,765.845
Marche,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,88.249
Marche,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,86.868
Marche,maschi,15 anni e più,licenza di scuola media,2018,220.418
Marche,maschi,15 anni e più,licenza di scuola media,2019,217.789
Marche,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,33.213
Marche,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,37.858
Marche,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,212.501
Marche,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,203.486
Marche,maschi,15 anni e più,laurea e post-laurea,2018,83.797
Marche,maschi,15 anni e più,laurea e post-laurea,2019,90.993
Marche,maschi,15 anni e più,totale,2018,638.178
Marche,maschi,15 anni e più,totale,2019,636.994
Marche,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,149.039
Marche,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,144.464
Marche,femmine,15 anni e più,licenza di scuola media,2018,181.318
Marche,femmine,15 anni e più,licenza di scuola media,2019,178.736
Marche,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,29.062
Marche,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,31.318
Marche,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,214.025
Marche,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,209.908
Marche,femmine,15 anni e più,laurea e post-laurea,2018,114.795
Marche,femmine,15 anni e più,laurea e post-laurea,2019,121.757
Marche,femmine,15 anni e più,totale,2018,688.238
Marche,femmine,15 anni e più,totale,2019,686.182
Marche,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,237.288
Marche,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,231.332
Marche,totale,15 anni e più,licenza di scuola media,2018,401.736
Marche,totale,15 anni e più,licenza di scuola media,2019,396.525
Marche,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,62.276
Marche,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,69.176
Marche,totale,15 anni e più,diploma 4-5 anni (maturità),2018,426.526
Marche,totale,15 anni e più,diploma 4-5 anni (maturità),2019,413.393
Marche,totale,15 anni e più,laurea e post-laurea,2018,198.591
Marche,totale,15 anni e più,laurea e post-laurea,2019,212.749
Marche,totale,15 anni e più,totale,2018,1326.416
Marche,totale,15 anni e più,totale,2019,1323.176
Lazio,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,209.982
Lazio,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,219.108
Lazio,maschi,15 anni e più,licenza di scuola media,2018,764.017
Lazio,maschi,15 anni e più,licenza di scuola media,2019,751.155
Lazio,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,70.358
Lazio,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,67.537
Lazio,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,919.111
Lazio,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,916.678
Lazio,maschi,15 anni e più,laurea e post-laurea,2018,456.408
Lazio,maschi,15 anni e più,laurea e post-laurea,2019,460.205
Lazio,maschi,15 anni e più,totale,2018,2419.875
Lazio,maschi,15 anni e più,totale,2019,2414.684
Lazio,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,383.785
Lazio,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,377.172
Lazio,femmine,15 anni e più,licenza di scuola media,2018,686.78
Lazio,femmine,15 anni e più,licenza di scuola media,2019,684.59
Lazio,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,73.925
Lazio,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,64.457
Lazio,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,926.436
Lazio,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,934.456
Lazio,femmine,15 anni e più,laurea e post-laurea,2018,568.686
Lazio,femmine,15 anni e più,laurea e post-laurea,2019,577.002
Lazio,femmine,15 anni e più,totale,2018,2639.613
Lazio,femmine,15 anni e più,totale,2019,2637.677
Lazio,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,593.766
Lazio,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,596.28
Lazio,totale,15 anni e più,licenza di scuola media,2018,1450.797
Lazio,totale,15 anni e più,licenza di scuola media,2019,1435.745
Lazio,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,144.283
Lazio,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,131.994
Lazio,totale,15 anni e più,diploma 4-5 anni (maturità),2018,1845.547
Lazio,totale,15 anni e più,diploma 4-5 anni (maturità),2019,1851.134
Lazio,totale,15 anni e più,laurea e post-laurea,2018,1025.094
Lazio,totale,15 anni e più,laurea e post-laurea,2019,1037.207
Lazio,totale,15 anni e più,totale,2018,5059.488
Lazio,totale,15 anni e più,totale,2019,5052.361
Abruzzo,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,72.309
Abruzzo,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,75.042
Abruzzo,maschi,15 anni e più,licenza di scuola media,2018,179.001
Abruzzo,maschi,15 anni e più,licenza di scuola media,2019,171.87
Abruzzo,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,24.255
Abruzzo,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,26.079
Abruzzo,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,202.849
Abruzzo,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,204.545
Abruzzo,maschi,15 anni e più,laurea e post-laurea,2018,74.59
Abruzzo,maschi,15 anni e più,laurea e post-laurea,2019,74.358
Abruzzo,maschi,15 anni e più,totale,2018,553.004
Abruzzo,maschi,15 anni e più,totale,2019,551.894
Abruzzo,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,122.622
Abruzzo,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,121.926
Abruzzo,femmine,15 anni e più,licenza di scuola media,2018,153.123
Abruzzo,femmine,15 anni e più,licenza di scuola media,2019,144.939
Abruzzo,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,16.432
Abruzzo,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,16.037
Abruzzo,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,203.683
Abruzzo,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,206.902
Abruzzo,femmine,15 anni e più,laurea e post-laurea,2018,95.939
Abruzzo,femmine,15 anni e più,laurea e post-laurea,2019,100.133
Abruzzo,femmine,15 anni e più,totale,2018,591.798
Abruzzo,femmine,15 anni e più,totale,2019,589.936
Abruzzo,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,194.931
Abruzzo,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,196.968
Abruzzo,totale,15 anni e più,licenza di scuola media,2018,332.124
Abruzzo,totale,15 anni e più,licenza di scuola media,2019,316.809
Abruzzo,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,40.687
Abruzzo,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,42.116
Abruzzo,totale,15 anni e più,diploma 4-5 anni (maturità),2018,406.532
Abruzzo,totale,15 anni e più,diploma 4-5 anni (maturità),2019,411.447
Abruzzo,totale,15 anni e più,laurea e post-laurea,2018,170.529
Abruzzo,totale,15 anni e più,laurea e post-laurea,2019,174.491
Abruzzo,totale,15 anni e più,totale,2018,1144.802
Abruzzo,totale,15 anni e più,totale,2019,1141.83
Molise,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,20.522
Molise,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,19.88
Molise,maschi,15 anni e più,licenza di scuola media,2018,43.658
Molise,maschi,15 anni e più,licenza di scuola media,2019,42.047
Molise,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,3.114
Molise,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,3.476
Molise,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,46.609
Molise,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,47.44
Molise,maschi,15 anni e più,laurea e post-laurea,2018,17.53
Molise,maschi,15 anni e più,laurea e post-laurea,2019,17.202
Molise,maschi,15 anni e più,totale,2018,131.432
Molise,maschi,15 anni e più,totale,2019,130.045
Molise,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,32.982
Molise,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,30.731
Molise,femmine,15 anni e più,licenza di scuola media,2018,38.242
Molise,femmine,15 anni e più,licenza di scuola media,2019,38.808
Molise,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,2.217
Molise,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,1.889
Molise,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,42.964
Molise,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,45.237
Molise,femmine,15 anni e più,laurea e post-laurea,2018,22.122
Molise,femmine,15 anni e più,laurea e post-laurea,2019,20.807
Molise,femmine,15 anni e più,totale,2018,138.528
Molise,femmine,15 anni e più,totale,2019,137.472
Molise,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,53.504
Molise,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,50.611
Molise,totale,15 anni e più,licenza di scuola media,2018,81.9
Molise,totale,15 anni e più,licenza di scuola media,2019,80.856
Molise,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,5.331
Molise,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,5.365
Molise,totale,15 anni e più,diploma 4-5 anni (maturità),2018,89.574
Molise,totale,15 anni e più,diploma 4-5 anni (maturità),2019,92.676
Molise,totale,15 anni e più,laurea e post-laurea,2018,39.651
Molise,totale,15 anni e più,laurea e post-laurea,2019,38.009
Molise,totale,15 anni e più,totale,2018,269.96
Molise,totale,15 anni e più,totale,2019,267.516
Campania,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,335.085
Campania,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,326.081
Campania,maschi,15 anni e più,licenza di scuola media,2018,928.129
Campania,maschi,15 anni e più,licenza di scuola media,2019,930.663
Campania,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,69.8
Campania,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,64.565
Campania,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,789.073
Campania,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,788.747
Campania,maschi,15 anni e più,laurea e post-laurea,2018,266.025
Campania,maschi,15 anni e più,laurea e post-laurea,2019,271.459
Campania,maschi,15 anni e più,totale,2018,2388.112
Campania,maschi,15 anni e più,totale,2019,2381.516
Campania,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,608.963
Campania,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,585.75
Campania,femmine,15 anni e più,licenza di scuola media,2018,804.849
Campania,femmine,15 anni e più,licenza di scuola media,2019,808.014
Campania,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,58.447
Campania,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,57.845
Campania,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,747.537
Campania,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,750.009
Campania,femmine,15 anni e più,laurea e post-laurea,2018,340.111
Campania,femmine,15 anni e più,laurea e post-laurea,2019,353.63
Campania,femmine,15 anni e più,totale,2018,2559.907
Campania,femmine,15 anni e più,totale,2019,2555.248
Campania,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,944.048
Campania,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,911.831
Campania,totale,15 anni e più,licenza di scuola media,2018,1732.978
Campania,totale,15 anni e più,licenza di scuola media,2019,1738.677
Campania,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,128.247
Campania,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,122.411
Campania,totale,15 anni e più,diploma 4-5 anni (maturità),2018,1536.61
Campania,totale,15 anni e più,diploma 4-5 anni (maturità),2019,1538.756
Campania,totale,15 anni e più,laurea e post-laurea,2018,606.136
Campania,totale,15 anni e più,laurea e post-laurea,2019,625.089
Campania,totale,15 anni e più,totale,2018,4948.02
Campania,totale,15 anni e più,totale,2019,4936.763
Puglia,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,303.922
Puglia,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,288.642
Puglia,maschi,15 anni e più,licenza di scuola media,2018,659.708
Puglia,maschi,15 anni e più,licenza di scuola media,2019,654.26
Puglia,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,36.872
Puglia,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,42.108
Puglia,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,508.71
Puglia,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,518.388
Puglia,maschi,15 anni e più,laurea e post-laurea,2018,173.959
Puglia,maschi,15 anni e più,laurea e post-laurea,2019,176.299
Puglia,maschi,15 anni e più,totale,2018,1683.171
Puglia,maschi,15 anni e più,totale,2019,1679.696
Puglia,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,496.62
Puglia,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,482.437
Puglia,femmine,15 anni e più,licenza di scuola media,2018,578.061
Puglia,femmine,15 anni e più,licenza di scuola media,2019,579.503
Puglia,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,34.06
Puglia,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,27.558
Puglia,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,484.94
Puglia,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,493.819
Puglia,femmine,15 anni e più,laurea e post-laurea,2018,217.854
Puglia,femmine,15 anni e più,laurea e post-laurea,2019,222.81
Puglia,femmine,15 anni e più,totale,2018,1811.534
Puglia,femmine,15 anni e più,totale,2019,1806.127
Puglia,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,800.542
Puglia,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,771.079
Puglia,totale,15 anni e più,licenza di scuola media,2018,1237.769
Puglia,totale,15 anni e più,licenza di scuola media,2019,1233.763
Puglia,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,70.932
Puglia,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,69.666
Puglia,totale,15 anni e più,diploma 4-5 anni (maturità),2018,993.65
Puglia,totale,15 anni e più,diploma 4-5 anni (maturità),2019,1012.207
Puglia,totale,15 anni e più,laurea e post-laurea,2018,391.812
Puglia,totale,15 anni e più,laurea e post-laurea,2019,399.108
Puglia,totale,15 anni e più,totale,2018,3494.705
Puglia,totale,15 anni e più,totale,2019,3485.823
Basilicata,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,39.335
Basilicata,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,38.045
Basilicata,maschi,15 anni e più,licenza di scuola media,2018,78.763
Basilicata,maschi,15 anni e più,licenza di scuola media,2019,78.98
Basilicata,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,10.224
Basilicata,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,9.719
Basilicata,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,87.081
Basilicata,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,86.289
Basilicata,maschi,15 anni e più,laurea e post-laurea,2018,25.728
Basilicata,maschi,15 anni e più,laurea e post-laurea,2019,26.456
Basilicata,maschi,15 anni e più,totale,2018,241.132
Basilicata,maschi,15 anni e più,totale,2019,239.489
Basilicata,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,61.638
Basilicata,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,57.726
Basilicata,femmine,15 anni e più,licenza di scuola media,2018,67.626
Basilicata,femmine,15 anni e più,licenza di scuola media,2019,67.558
Basilicata,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,7.335
Basilicata,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,6.999
Basilicata,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,83.718
Basilicata,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,84.943
Basilicata,femmine,15 anni e più,laurea e post-laurea,2018,33.779
Basilicata,femmine,15 anni e più,laurea e post-laurea,2019,35.289
Basilicata,femmine,15 anni e più,totale,2018,254.096
Basilicata,femmine,15 anni e più,totale,2019,252.516
Basilicata,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,100.973
Basilicata,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,95.771
Basilicata,totale,15 anni e più,licenza di scuola media,2018,146.389
Basilicata,totale,15 anni e più,licenza di scuola media,2019,146.538
Basilicata,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,17.56
Basilicata,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,16.718
Basilicata,totale,15 anni e più,diploma 4-5 anni (maturità),2018,170.799
Basilicata,totale,15 anni e più,diploma 4-5 anni (maturità),2019,171.232
Basilicata,totale,15 anni e più,laurea e post-laurea,2018,59.507
Basilicata,totale,15 anni e più,laurea e post-laurea,2019,61.745
Basilicata,totale,15 anni e più,totale,2018,495.228
Basilicata,totale,15 anni e più,totale,2019,492.004
Calabria,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,152.158
Calabria,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,144.988
Calabria,maschi,15 anni e più,licenza di scuola media,2018,290.634
Calabria,maschi,15 anni e più,licenza di scuola media,2019,286.614
Calabria,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,18.402
Calabria,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,17.194
Calabria,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,273.008
Calabria,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,279.373
Calabria,maschi,15 anni e più,laurea e post-laurea,2018,84.041
Calabria,maschi,15 anni e più,laurea e post-laurea,2019,87.263
Calabria,maschi,15 anni e più,totale,2018,818.243
Calabria,maschi,15 anni e più,totale,2019,815.432
Calabria,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,222.118
Calabria,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,217.383
Calabria,femmine,15 anni e più,licenza di scuola media,2018,261.026
Calabria,femmine,15 anni e più,licenza di scuola media,2019,257.115
Calabria,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,14.623
Calabria,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,13.374
Calabria,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,259.507
Calabria,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,256.24
Calabria,femmine,15 anni e più,laurea e post-laurea,2018,109.964
Calabria,femmine,15 anni e più,laurea e post-laurea,2019,118.927
Calabria,femmine,15 anni e più,totale,2018,867.239
Calabria,femmine,15 anni e più,totale,2019,863.038
Calabria,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,374.277
Calabria,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,362.37
Calabria,totale,15 anni e più,licenza di scuola media,2018,551.661
